ticker,name,period,total_assets,total_equity,stockholders_equity,retained_earnings,short_term_debt,long_term_debt,bps,equity_ratio,revenue,operating_income,ordinary_income,net_income,basic_eps,roe,roa,operating_cf,investing_cf,financing_cf,capex,cash_equivalents,operating_cf_margin,dps,dividend_payment,buyback,payout_ratio,total_return_ratio,doe,price,shares_outstanding,market_cap,per,pbr,dividend_yield,total_liabilities,interest_bearing_debt,net_cash,net_cash_ratio
1418,,2025-02,9438084000.0,4214613000.0,4228120000.0,877640000.0,650000000.0,759292000.0,271.55,44.7,16940669000.0,875643000.0,875135000.0,705077000.0,45.43,16.73,7.47,484878000.0,-150816000.0,-196436000.0,-63000.0,1492377000.0,2.86,20.0,130345000.0,,44.0,44.0,7.9,,15570318,,,,,5223471000.0,1409292000.0,-3731094000.0,
1419,,2025-05,92302000000.0,34275000000.0,34368000000.0,27229000000.0,7530000000.0,7917000000.0,1181.38,37.1,200817000000.0,4113000000.0,3789000000.0,1478000000.0,50.99,4.32,1.6,2248000000.0,-1741000000.0,4390000000.0,-1736000000.0,31001000000.0,1.12,195.0,5507000000.0,,382.4,382.4,15.6,,29091401,,,,,58027000000.0,15447000000.0,-27026000000.0,
141A,,2025-06,300283000000.0,129028000000.0,125194000000.0,81875000000.0,26500000000.0,9031000000.0,1031.28,42.0,803829000000.0,21106000000.0,22200000000.0,11752000000.0,96.23,9.32,3.91,-4446000000.0,-35892000000.0,20770000000.0,-39475000000.0,72325000000.0,-0.55,16.0,1829000000.0,,16.6,16.6,1.6,,121396710,,,,,171255000000.0,35531000000.0,-98930000000.0,
1420,,2025-03,50553241000.0,15321096000.0,15350070000.0,6770994000.0,3690000000.0,9913000000.0,1367.23,30.3,45518339000.0,956034000.0,1167758000.0,673078000.0,60.21,4.39,1.33,-2371596000.0,-46468000.0,1210299000.0,-107000000.0,9232054000.0,-5.21,25.0,297506000.0,,41.5,41.5,1.8,,11227130,,,,,35232145000.0,13603000000.0,-26000091000.0,
1429,,2025-12,25810000000.0,11633000000.0,11633185000.0,9168917000.0,4800000000.0,,361.18,45.1,33670000000.0,2774000000.0,2794000000.0,1895000000.0,59.4,16.29,7.34,1510000000.0,-603000000.0,-755000000.0,-503809000.0,2415160000.0,4.48,35.0,1084876000.0,,58.9,58.9,10.1,713.0,32208829,22964895077.0,12.003367003367003,1.9741163136766096,4.908835904628331,14177000000.0,4800000000.0,-11761840000.0,-0.5121660674069363
142A,,2025-03,2090700000.0,389870000.0,389870000.0,-246634000.0,102494000.0,327283000.0,134.32,18.6,2400260000.0,62545000.0,58884000.0,-184425000.0,-63.69,-47.30422961499987,-8.8212082077773,-128391000.0,-72390000.0,240110000.0,-18233000.0,1593893000.0,-5.35,,,,,,,,2902546,,,,,1700830000.0,429777000.0,-106937000.0,
1430,,2025-05,24889765000.0,9760903000.0,9757593000.0,9329428000.0,270000000.0,3192780000.0,816.73,39.2,43194307000.0,2579579000.0,2478439000.0,1669537000.0,139.74,17.11,6.71,2094972000.0,-49980000.0,-762561000.0,-45013000.0,5400034000.0,4.85,42.0,377409000.0,442550000.0,30.1,56.6,5.5,1034.0,11947146,12353348964.0,7.399456132818091,1.2655948905546957,4.061895551257253,15128862000.0,3462780000.0,-9728828000.0,-0.787545792509517
1431,,2025-06,11523490000.0,4714566000.0,4714566000.0,2614029000.0,2033755000.0,1286033000.0,202.78,40.9,16004726000.0,833260000.0,854881000.0,494687000.0,21.19,10.49,4.29,1384878000.0,-496993000.0,-856881000.0,-409965000.0,3809392000.0,8.65,6.4,151690000.0,199974000.0,30.2,70.6,3.2,643.4000244140625,23249659,14958831168.218628,30.363380104486193,3.1728967561846897,0.9947155357708312,6808924000.0,3319788000.0,-2999532000.0,-0.20051914259001555
1433,,2025-01,11046511000.0,4853556000.0,4770009000.0,3323981000.0,3000000000.0,622844000.0,546.88,43.9,10897474000.0,373633000.0,592069000.0,409806000.0,46.25,8.46,3.71,-607470000.0,1482006000.0,-719139000.0,-39402000.0,1599484000.0,-5.57,20.0,177223000.0,,43.2,43.2,4.0,,8722222,,,,,6192955000.0,3622844000.0,-4593471000.0,
1434,,2025-08,17647633000.0,7561332000.0,7429357000.0,5138012000.0,1324582000.0,3802718000.0,1077.64,42.4,19067640000.0,1721775000.0,1692870000.0,1076152000.0,155.31,14.4,6.1,896261000.0,17231000.0,-210728000.0,-442000000.0,3012672000.0,4.7,40.0,207534000.0,,25.8,25.8,3.9,,6894099,,,,,10086301000.0,5127300000.0,-7073629000.0,
